year,min_temp,region,avg_temp
2008,53.8,central,66.1
2009,53.9,central,65.5
2010,56.5,central,68.0
2011,54.8,central,66.9
2012,55.8,central,69.7
2013,54.9,central,67.2
2014,55.2,central,66.7
2015,56.3,central,68.0
2016,56.8,central,70.0
2017,54.8,central,68.0
2018,57.7,central,69.9
2019,53.8,central,65.9
2020,56.5,central,69.4
2021,57.4,central,70.7
2022,55.4,central,68.3
2008,59.4,eastern,70.8
2009,57.7,eastern,68.0
2010,60.8,eastern,71.5
2011,58.9,eastern,70.1
2012,56.4,eastern,68.1
2013,58.9,eastern,69.0
2014,58.6,eastern,69.6
2015,59.2,eastern,69.3
2016,57.9,eastern,69.5
2017,57.6,eastern,68.6
2018,58.8,eastern,69.5
2019,57.4,eastern,68.1
2020,58.0,eastern,69.1
2021,59.4,eastern,70.3
2022,57.4,eastern,69.1
2008,66.6,southern,79.2
2009,66.5,southern,78.7
2010,68.8,southern,80.6
2011,67.9,southern,81.5
2012,65.9,southern,78.7
2013,67.0,southern,78.9
2014,66.9,southern,78.0
2015,66.9,southern,78.0
2016,67.1,southern,78.8
2017,66.1,southern,77.5
2018,68.6,southern,80.5
2019,65.3,southern,76.9
2020,66.0,southern,78.0
2021,66.9,southern,77.9
2022,67.9,southern,80.1
2008,49.0,western,63.9
2009,49.3,western,62.5
2010,49.7,western,63.3
2011,48.1,western,61.8
2012,49.7,western,64.7
2013,51.7,western,66.5
2014,50.2,western,64.7
2015,54.7,western,69.6
2016,52.9,western,68.0
2017,52.1,western,67.0
2018,51.2,western,65.8
2019,50.0,western,64.3
2020,50.4,western,64.4
2021,55.1,western,70.6
2022,51.3,western,65.4
