Year,Incidence_per_10000,Avg_temp_june_value,Avg_temp_june_anomaly,Min_temp_june_value,Min_temp_june_anomaly,Precipitation_june_value,Precipitation_june_anomaly,Avg_cooling_degree_days_june,Avg_cooling_degree_days_june_anomaly,Population,total_lyme_disease_counts
1991,3.743364999,69.04,0.57,56.82,1.21,2.84,-0.08,232,21,252981000,94700.02208120191
1992,3.862553836,67.41,-1.06,55.06,-0.55,3.39,0.47,175,-36,256514000,99079.9134687704
1993,3.176763949,67.19,-1.28,55.13,-0.48,3.61,0.69,208,-3,259919000,82570.1308860131
1994,4.956944153,70.93,2.46,57.96,2.35,2.9,-0.02,264,53,263126000,130430.0887202278
1995,4.39389763,67.53,-0.94,55.24,-0.37,3.22,0.3,201,-10,266278000,116999.827312114
1996,6.108147417,69.84,1.37,57.06,1.45,2.86,-0.06,230,19,269394000,164549.8265255298
1997,4.695083211,68.29,-0.18,56.17,0.56,3.4,0.48,190,-21,272657000,128014.7303061627
1998,6.090538352,68.11,-0.36,55.9,0.29,3.32,0.4,235,24,275854000,168009.9366552608
1999,5.831776879,68.29,-0.18,56.21,0.6,3.31,0.39,220,9,279040000,162729.90203161602
2000,6.283615148,69.01,0.54,56.44,0.83,3.45,0.53,227,16,282162411,177299.99999558018
2001,5.975738655,69.21,0.74,56.43,0.82,3.12,0.2,226,15,284968955,170289.99998684556
2002,8.261793674,70.84,2.37,57.72,2.11,2.56,-0.36,243,32,287625193,237630.0000010429
2003,7.332788104,68.02,-0.45,55.54,-0.07,3.45,0.53,189,-22,290107933,212729.9999978429
2004,6.763538821,68.05,-0.42,55.76,0.15,3.51,0.59,209,-2,292805298,198040.00000174736
2005,7.886189838,69.19,0.72,56.89,1.28,3.14,0.22,247,36,295516599,233049.99999941207
2006,6.679739218,70.74,2.27,57.38,1.77,2.56,-0.36,238,27,298379912,199310.00000497888
2007,9.110609845,69.85,1.38,56.8,1.19,2.91,-0.01,235,24,301231207,274440.00001154334
2008,9.510547144,69.58,1.11,56.55,0.94,3.0,0.08,265,54,304093966,289209.9999848933
2009,9.765899755,68.5,0.03,56.46,0.85,3.01,0.09,226,15,306771529,299589.9999902075
2010,7.293701826,70.47,2.0,58.37,2.76,3.49,0.57,286,75,309327143,225613.99477304632
2011,7.82008103,69.8,1.33,56.93,1.32,2.58,-0.34,263,52,311583481,243660.80690294653
2012,7.014603625,70.52,2.05,56.86,1.25,2.24,-0.68,235,24,313877662,220172.7385671725
2013,8.608715525,70.38,1.91,57.76,2.15,3.34,0.42,247,36,316059947,272087.01725695765
2014,7.966987023,69.57,1.1,57.34,1.73,3.67,0.75,244,33,318386329,253657.97514436083
2015,8.873948738,71.33,2.86,59.05,3.44,3.55,0.63,256,45,320738994,284622.1391033689
2016,8.113858186,71.74,3.27,58.59,2.98,2.48,-0.44,271,60,323071755,262135.84039721364
2017,9.081327154,70.32,1.85,57.43,1.82,3.06,0.14,241,30,325122128,295254.04093726637
2018,7.211172735,71.53,3.06,58.91,3.3,3.15,0.23,269,58,326838199,235688.6709385304
