State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,9,3,2,24,25,24,64,25,38,41,36,66,14,51,32
Alaska,6,7,7,11,10,14,8,9,15,10,11,3,0,0,7
Arizona,8,7,2,15,13,32,21,12,13,28,7,10,2,3,9
Arkansas,0,0,0,0,0,0,0,0,2,6,4,18,12,11,2
California,74,117,129,92,70,112,73,98,134,145,104,144,53,106,77
Colorado,3,1,3,0,0,0,0,0,0,4,3,8,0,0,10
Connecticut†,"3,896","4,156","3,068","3,039","2,657","2,925","2,360","2,541","1,748","2,051","1,859","1,233",614,541,2022
Delaware†,772,984,656,873,669,509,417,435,506,608,520,641,355,140,298
District of Columbia†,74,61,42,0,0,35,40,121,103,84,79,100,120,91,77
Florida,88,110,84,115,118,138,155,166,216,210,169,162,121,193,233
Georgia,35,40,10,32,31,8,4,8,4,8,19,18,32,35,31
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,9,16,9,4,5,19,9,9,17,20,9,14,6,6,10
Illinois,108,136,135,194,204,337,233,287,237,273,276,395,295,540,259
Indiana,42,83,78,94,74,110,110,138,152,142,155,189,212,314,236
Iowa,109,108,85,100,165,247,194,318,232,255,283,303,257,359,154
Kansas,16,18,10,17,19,34,20,23,39,40,30,35,17,22,9
Kentucky,5,1,5,3,14,40,44,49,33,20,22,22,32,41,72
Louisiana,3,0,3,2,7,0,2,3,7,12,4,8,2,4,5
Maine†,908,970,751,"1,006","1,111","1,373","1,401","1,201","1,487","1,850","1,405","2,167","1,128","1,510",2653
Maryland†,"2,218","2,024","1,617","1,351","1,651","1,197","1,373","1,728","1,866","1,891","1,382","1,417",842,916,2035
Massachusetts†,"4,582","5,256","3,263","2,476","5,138","5,290","5,304","4,224",198,410,16,7,107,27,5052
Michigan,92,103,95,104,98,168,127,148,221,291,262,413,468,862,557
Minnesota†,"1,282","1,543","1,960","2,124","1,515","2,340","1,416","1,805","2,126","2,318","1,541","1,528",0,"1,902",2685
Mississippi,1,0,0,5,1,0,2,4,1,1,4,4,1,1,3
Missouri,6,3,4,8,2,3,10,5,10,12,11,17,7,7,7
Montana,17,3,4,11,6,18,7,5,17,12,7,8,3,13,13
Nebraska,12,5,8,11,15,10,7,11,14,14,15,10,5,10,9
Nevada,12,13,2,5,10,16,6,7,15,17,14,17,4,17,10
New Hampshire†,"1,601","1,415","1,339","1,299","1,450","1,687",724,529,891,"1,381","1,428","1,710",299,397,1085
New Jersey†,"3,485","4,973","3,712","4,262","3,576","3,766","3,286","4,855","4,350","5,092","4,000","3,619","2,566","3,518",5897
New Mexico,8,5,5,6,1,6,0,0,1,3,2,7,0,2,3
New York†,"7,794","5,651","3,425","4,490","2,998","4,615","3,736","4,314","3,882","5,155","3,638","4,243","2,240","3,006",16798
North Carolina,47,96,82,88,122,180,170,230,272,295,212,334,264,338,279
North Dakota,10,15,33,27,15,29,14,33,32,56,33,38,36,34,22
Ohio,45,58,44,53,67,93,119,154,160,270,293,467,409,590,553
Oklahoma,2,2,0,2,4,3,0,0,0,1,0,0,0,0,0
Oregon,38,38,39,38,48,43,45,31,61,84,70,65,39,74,61
Pennsylvania†,"3,818","5,722","3,805","5,362","5,033","5,758","7,487","9,048","11,443","11,900","10,208","8,998","3,334","2,900",8413
Rhode Island†,210,235,181,159,217,724,904,904,903,"1,132","1,111",971,839,980,2326
South Carolina,29,42,29,37,44,42,37,42,51,21,39,47,48,76,44
South Dakota,3,1,1,4,4,4,2,5,11,12,7,10,8,16,12
Tennessee,31,37,36,37,30,25,17,26,25,47,29,45,38,57,32
Texas,153,276,142,74,75,82,40,54,71,58,47,41,11,32,23
Utah,5,9,3,9,5,15,13,7,19,25,27,19,14,18,16
Vermont†,404,408,356,623,522,893,599,710,761,"1,092",576,"1,064",59,115,1312
Virginia†,933,908,"1,245","1,023","1,110","1,307","1,346","1,539","1,350","1,657","1,139","1,199",555,705,1403
Washington,23,16,16,19,15,18,15,24,31,37,20,43,20,43,23
West Virginia†,135,201,145,118,97,143,136,289,368,648,671,885,"1,065","1,792",2470
Wisconsin†,"2,034","2,589","3,488","3,649","1,766","1,872","1,361","1,894","2,295","3,000","1,869","2,178","1,447","2,193",5208
Wyoming,3,3,0,2,4,3,3,1,1,4,0,5,0,2,4
U.S. Total,"35,198","38,468","30,158","33,097","30,831","36,307","33,461","38,069","36,429","42,743","33,666","34,945","18,000","24,610","62,519"
